loan_id,customer_id,amount,interest_rate,term_months,start_date,status
83,488,33063.02,35.87,12,2025-10-01,MOROSO
84,879,173758.39,8.76,48,2022-05-12,VIGENTE
85,139,27027.75,9.81,24,2022-02-02,VIGENTE
86,689,133630.43,8.14,60,2021-03-15,VIGENTE
87,562,124653.71,25.14,48,2022-08-31,CANCELADO
88,178,61152.94,8.69,24,2025-08-07,VIGENTE
89,620,24342.61,43.47,48,2025-02-28,VIGENTE
90,901,5178.93,30.64,24,2023-05-26,MOROSO
91,649,21019.68,33.68,18,2025-07-03,VIGENTE
92,510,29492.94,27.51,36,2023-05-02,VIGENTE
93,572,153560.26,28.78,60,2023-03-26,CANCELADO
94,766,128992.87,26.94,18,2022-10-12,VIGENTE
95,852,27231.29,14.37,24,2022-01-16,CANCELADO
96,142,86182.49,9.99,18,2024-06-23,MOROSO
97,524,150527.95,30.83,48,2023-04-20,CANCELADO
98,284,61747.24,40.59,18,2024-10-12,VIGENTE
99,189,137171.94,37.38,24,2024-11-13,MOROSO
100,760,63174.15,31.65,12,2025-10-08,MOROSO
101,362,90553.36,33.19,12,2024-02-11,VIGENTE
102,860,186630.78,43.21,6,2024-11-14,VIGENTE
103,191,100280.67,29.71,48,2026-01-31,VIGENTE
104,718,104738.09,43.55,24,2022-03-03,CANCELADO
105,737,103628.42,16.8,48,2025-09-09,VIGENTE
106,460,146749.55,36.21,6,2021-11-21,CANCELADO
107,705,94367.05,41.19,24,2022-08-14,CANCELADO
108,411,163863.71,26.67,60,2023-08-17,VIGENTE
109,984,174448.07,30.76,60,2022-08-22,VIGENTE
110,34,70604.68,39.15,12,2023-11-30,VIGENTE
111,490,178141.9,20.18,48,2022-05-14,VIGENTE
112,634,3677.62,27.75,18,2021-08-05,VIGENTE
113,500,166741.05,9.84,36,2025-12-09,VIGENTE
114,941,74478.71,39.98,36,2022-12-08,VIGENTE
115,683,79886.02,26.46,18,2024-04-08,VIGENTE
116,189,43917.49,11.24,6,2024-12-09,VIGENTE
117,935,54867.71,25.45,36,2025-06-30,CANCELADO
118,653,147773.39,18.13,12,2024-11-08,VIGENTE
119,99,17461.62,44.54,24,2025-08-16,CANCELADO
120,656,40949.1,32.48,24,2021-05-19,VIGENTE
121,468,182302.3,32.09,6,2024-08-21,VIGENTE
122,424,169928.65,36.05,18,2025-12-16,MOROSO
123,18,63213.84,20.0,60,2021-11-25,MOROSO
124,559,138038.66,22.56,48,2025-02-23,VIGENTE
125,101,144416.9,14.79,36,2025-10-29,VIGENTE
126,411,179525.63,36.84,48,2021-04-05,CANCELADO
127,554,165503.84,8.3,36,2022-08-28,VIGENTE
128,308,99512.17,14.64,6,2023-03-05,VIGENTE
129,342,81413.72,43.2,60,2023-03-28,MOROSO
130,507,52783.11,19.14,60,2023-09-16,VIGENTE
131,453,108325.54,44.82,6,2023-09-03,VIGENTE
132,687,101948.05,43.9,6,2022-10-26,VIGENTE
133,692,174825.06,8.54,18,2023-03-04,MOROSO
134,191,5506.89,8.77,48,2021-03-31,VIGENTE
135,927,30946.93,38.89,12,2022-11-04,CANCELADO
136,54,137511.26,17.09,6,2024-06-06,VIGENTE
137,739,172605.42,20.56,60,2023-06-15,VIGENTE
138,450,139269.79,11.64,6,2024-10-01,VIGENTE
139,637,139809.81,25.16,24,2024-01-08,CANCELADO
140,894,79513.67,40.55,12,2025-05-05,VIGENTE
141,550,164707.83,29.73,24,2021-12-29,VIGENTE
142,639,30551.6,37.56,6,2025-04-26,VIGENTE
143,386,100005.65,30.65,12,2023-05-25,VIGENTE
144,91,158653.73,33.04,24,2023-06-07,VIGENTE
145,279,138103.03,14.89,48,2025-06-26,CANCELADO
146,62,41240.31,20.3,24,2022-02-28,VIGENTE
147,675,119469.69,25.89,6,2021-04-24,VIGENTE
148,787,67083.15,16.61,36,2023-07-02,MOROSO
149,790,72363.96,35.47,12,2026-01-11,VIGENTE
150,863,38401.92,42.4,36,2025-10-02,CANCELADO
151,699,51254.66,38.88,36,2024-11-14,VIGENTE
152,624,90547.61,32.0,24,2022-08-12,MOROSO
153,311,68490.52,19.01,60,2021-05-18,CANCELADO
154,122,190346.73,42.17,48,2022-05-28,VIGENTE
155,365,95140.67,10.12,6,2023-06-04,CANCELADO
156,334,119526.57,28.6,48,2024-04-05,VIGENTE
157,344,197561.99,25.94,48,2022-05-22,VIGENTE
158,371,172631.24,27.45,24,2021-03-28,CANCELADO
159,419,117018.52,13.44,48,2024-06-30,VIGENTE
160,822,67054.63,17.12,60,2022-05-06,VIGENTE
161,100,5936.17,20.04,60,2022-11-08,VIGENTE
162,548,8479.03,16.52,6,2021-12-06,MOROSO
163,689,35433.2,23.89,60,2021-05-23,VIGENTE
164,881,93866.45,39.31,48,2024-11-28,VIGENTE
165,563,174243.28,25.69,36,2021-09-21,VIGENTE
166,940,120876.46,12.74,12,2021-09-12,VIGENTE
167,915,28897.78,32.68,6,2024-05-05,CANCELADO
168,148,14821.2,41.95,12,2022-09-19,CANCELADO
169,322,60826.19,11.32,6,2023-06-16,VIGENTE
170,60,155845.79,21.59,24,2022-02-28,MOROSO
171,463,49950.04,14.33,48,2023-08-23,VIGENTE
172,610,182555.48,41.16,24,2025-04-16,VIGENTE
173,14,22483.54,27.43,6,2021-05-15,CANCELADO
174,582,74033.05,31.31,6,2025-12-13,VIGENTE
175,576,132615.2,42.36,60,2022-05-27,VIGENTE
176,36,103242.12,21.4,60,2021-09-11,VIGENTE
177,281,19511.97,39.78,12,2022-12-01,VIGENTE
178,206,94433.66,14.11,48,2023-04-03,CANCELADO
179,725,39591.89,34.27,48,2023-05-05,VIGENTE
180,45,102258.23,20.01,12,2025-10-25,VIGENTE
181,321,8580.97,20.16,48,2023-01-19,VIGENTE
182,566,29181.69,24.88,18,2021-10-07,VIGENTE
183,300,136130.98,38.89,12,2024-07-01,CANCELADO
184,547,198475.54,26.17,36,2022-09-24,VIGENTE
185,745,113083.64,8.17,18,2024-05-05,MOROSO
186,136,91115.55,24.35,24,2023-04-05,CANCELADO
187,661,5410.76,41.61,18,2025-04-22,VIGENTE
188,125,163714.07,41.62,36,2022-06-20,VIGENTE
189,156,26335.44,25.96,6,2025-11-17,VIGENTE
190,891,177117.87,34.23,6,2024-08-05,CANCELADO
191,539,54853.79,20.2,36,2023-10-31,CANCELADO
192,164,7593.06,31.79,18,2023-09-07,CANCELADO
193,429,38318.07,23.43,6,2021-04-23,VIGENTE
194,680,109376.5,32.38,60,2023-10-17,MOROSO
195,731,76905.62,19.95,48,2021-09-03,VIGENTE
196,670,98077.42,15.87,12,2023-08-16,VIGENTE
197,66,133562.21,17.99,60,2024-11-23,MOROSO
198,403,64955.0,25.16,36,2024-02-22,VIGENTE
199,776,132445.51,34.9,48,2024-03-11,CANCELADO
200,908,53558.02,41.77,36,2025-10-03,MOROSO
201,618,150743.83,23.81,6,2024-09-24,VIGENTE
202,971,87756.55,25.78,24,2021-03-16,VIGENTE
203,317,117933.86,24.41,24,2021-12-27,CANCELADO
204,114,53035.58,20.22,24,2025-08-09,CANCELADO
205,100,168623.7,42.72,60,2022-12-22,VIGENTE
206,666,26335.63,38.53,36,2024-06-26,VIGENTE
207,933,10009.63,32.52,36,2022-08-14,MOROSO
208,7,177544.32,39.39,36,2023-11-21,VIGENTE
209,605,31047.4,12.31,36,2022-05-29,VIGENTE
210,597,33067.27,13.13,6,2024-03-18,VIGENTE
211,151,77539.34,35.09,6,2022-08-21,VIGENTE
212,525,89276.1,24.96,48,2024-06-05,VIGENTE
213,982,68349.55,14.16,24,2025-02-12,MOROSO
214,770,58779.22,9.93,24,2022-05-29,CANCELADO
215,524,81761.05,29.81,18,2023-01-01,VIGENTE
216,323,77361.26,43.6,6,2024-03-11,CANCELADO
217,535,20234.06,30.96,18,2025-06-01,VIGENTE
218,631,33538.53,16.81,18,2023-10-03,VIGENTE
219,877,111297.98,24.77,36,2021-07-25,VIGENTE
220,709,79283.15,30.49,18,2025-11-09,CANCELADO
221,470,54509.09,41.04,6,2023-03-17,VIGENTE
222,142,161613.82,23.45,12,2025-07-24,MOROSO
223,802,149570.98,15.61,18,2024-04-12,VIGENTE
224,335,188370.1,11.63,18,2021-02-15,VIGENTE
225,635,53497.87,18.44,6,2023-07-12,CANCELADO
226,531,19992.25,12.32,12,2021-07-20,VIGENTE
227,526,60862.04,21.85,48,2022-06-30,CANCELADO
228,421,102927.37,27.74,60,2025-04-09,VIGENTE
229,719,161360.82,14.91,12,2023-12-19,VIGENTE
230,113,152738.34,22.68,12,2022-02-09,VIGENTE
231,488,57470.76,13.69,18,2021-02-20,CANCELADO
232,941,92799.23,23.07,48,2025-09-14,VIGENTE
233,31,53142.65,15.71,24,2021-02-13,VIGENTE
234,778,167600.82,24.47,60,2025-01-24,VIGENTE
235,497,6446.71,18.49,60,2023-02-19,VIGENTE
236,826,110147.94,37.06,6,2025-01-12,VIGENTE
237,826,128606.27,21.18,36,2021-10-21,CANCELADO
238,971,199169.32,42.01,24,2023-09-03,VIGENTE
239,122,180628.13,34.06,6,2024-07-03,VIGENTE
240,322,77098.74,12.6,24,2023-10-12,CANCELADO
241,96,168771.9,18.63,24,2024-06-05,CANCELADO
242,634,68354.53,44.29,60,2022-11-04,VIGENTE
243,939,169100.64,39.82,24,2025-07-26,VIGENTE
244,291,169267.36,28.67,12,2022-02-26,VIGENTE
245,340,4522.51,30.24,60,2025-04-28,VIGENTE
246,183,66627.64,14.81,18,2022-09-23,MOROSO
247,666,21933.57,41.88,18,2022-06-18,VIGENTE
248,433,57065.59,30.74,48,2026-02-09,MOROSO
249,554,88735.63,41.58,24,2025-05-11,VIGENTE
250,976,119752.09,10.71,18,2024-08-23,CANCELADO
251,326,93978.7,36.91,12,2023-06-09,VIGENTE
252,98,67019.36,33.04,60,2025-02-11,VIGENTE
253,452,136181.9,26.85,60,2023-08-29,VIGENTE
254,794,19505.02,39.67,6,2024-10-11,VIGENTE
255,850,76253.34,12.68,24,2025-05-10,VIGENTE
256,818,116014.4,38.72,48,2022-11-01,VIGENTE
257,932,197584.04,32.58,24,2024-12-31,CANCELADO
258,117,190126.47,44.33,48,2023-02-14,MOROSO
259,12,122406.13,22.61,24,2021-05-26,VIGENTE
260,52,77050.05,31.84,60,2021-04-21,CANCELADO
261,862,161867.91,29.44,60,2023-06-23,CANCELADO
262,784,92877.65,41.46,36,2022-12-26,VIGENTE
263,341,130941.84,17.0,48,2024-04-05,VIGENTE
264,888,99354.52,21.08,18,2022-06-27,VIGENTE
265,988,159395.77,18.65,60,2024-10-15,VIGENTE
266,48,40535.37,15.16,12,2021-12-08,MOROSO
267,287,98920.68,22.62,24,2024-06-26,VIGENTE
268,651,184764.03,33.91,6,2022-02-06,MOROSO
269,5,140280.75,17.92,24,2024-08-20,VIGENTE
270,540,135607.31,41.36,18,2025-01-13,VIGENTE
271,407,170086.89,11.02,24,2022-10-07,VIGENTE
272,294,170313.75,28.59,6,2025-10-28,CANCELADO
273,271,173966.07,30.38,24,2025-04-13,VIGENTE
274,108,23730.05,42.65,24,2021-12-31,VIGENTE
275,369,88498.22,30.17,24,2023-08-09,VIGENTE
276,106,163204.7,33.32,6,2023-11-03,CANCELADO
277,500,72003.06,31.27,60,2023-07-28,VIGENTE
278,925,106632.82,16.41,18,2026-01-29,VIGENTE
279,580,154115.14,29.53,48,2025-01-27,MOROSO
280,478,31408.04,17.0,6,2023-09-01,CANCELADO
281,42,157370.97,42.79,36,2024-12-22,VIGENTE
282,449,154617.69,27.71,6,2023-07-08,VIGENTE
283,138,185181.69,28.41,6,2022-02-02,CANCELADO
284,175,145350.96,15.76,36,2024-11-21,VIGENTE
285,847,21415.58,36.82,6,2022-05-30,VIGENTE
286,200,186698.95,37.26,36,2022-05-17,MOROSO
287,132,24201.81,16.86,24,2025-07-23,VIGENTE
288,726,49677.49,30.56,60,2024-04-04,CANCELADO
289,724,72143.17,36.16,48,2022-05-21,VIGENTE
290,46,175735.27,15.42,24,2021-10-10,VIGENTE
291,767,103218.28,34.29,6,2023-06-27,VIGENTE
292,54,44627.0,41.11,18,2021-06-23,VIGENTE
293,249,141921.07,11.97,60,2021-08-20,CANCELADO
294,881,77428.15,29.69,24,2025-11-25,MOROSO
295,66,165208.07,16.13,6,2024-01-17,CANCELADO
296,186,5973.55,42.41,36,2021-09-24,VIGENTE
297,525,3278.19,40.44,60,2023-05-14,VIGENTE
298,15,150968.66,14.93,6,2023-08-04,VIGENTE
299,592,9689.01,24.34,12,2022-04-27,MOROSO
300,452,151017.96,27.1,18,2023-10-24,CANCELADO
301,523,54841.36,15.71,12,2021-06-24,MOROSO
302,234,144833.45,30.56,18,2024-05-04,CANCELADO
303,340,187986.4,33.44,18,2021-10-28,CANCELADO
304,141,96185.73,9.25,36,2025-06-24,VIGENTE
305,880,134475.74,17.26,36,2024-09-02,VIGENTE
306,772,113749.56,30.74,60,2021-04-28,CANCELADO
307,786,171446.25,13.49,48,2022-05-24,VIGENTE
308,295,15450.27,36.08,36,2024-04-19,VIGENTE
309,153,175943.02,23.0,18,2023-06-05,VIGENTE
310,528,100582.57,20.69,60,2021-10-06,VIGENTE
311,539,130448.8,14.67,60,2022-11-17,VIGENTE
312,31,125558.84,33.5,6,2025-07-29,VIGENTE
313,985,46486.1,22.94,48,2021-08-22,VIGENTE
314,774,88649.55,28.43,12,2023-05-13,VIGENTE
315,37,102013.94,24.47,12,2022-12-30,CANCELADO
316,859,163168.97,30.03,12,2023-01-01,MOROSO
317,698,113738.58,27.98,24,2024-10-20,CANCELADO
318,108,15675.68,28.2,36,2022-11-23,VIGENTE
319,880,153695.35,32.94,36,2023-02-26,VIGENTE
320,534,183889.15,44.61,48,2024-01-11,CANCELADO
321,203,67022.35,13.64,60,2022-08-30,VIGENTE
322,711,188590.21,42.86,12,2024-09-09,VIGENTE
323,601,132700.06,30.45,12,2023-05-09,VIGENTE
324,893,93503.7,34.31,36,2025-05-29,MOROSO
325,620,74830.32,39.65,24,2024-09-08,VIGENTE
326,9,106127.98,42.19,12,2021-03-20,VIGENTE
327,668,104775.38,34.74,36,2022-04-28,VIGENTE
328,462,164879.52,19.91,36,2021-03-03,CANCELADO
329,817,78911.7,37.91,24,2023-09-03,VIGENTE
330,753,112328.13,39.44,36,2024-08-19,VIGENTE
331,162,15891.61,33.5,48,2021-09-22,VIGENTE
332,152,80568.87,42.24,18,2021-04-23,CANCELADO
333,730,182771.79,9.6,6,2023-01-29,VIGENTE
334,525,52445.6,16.59,6,2022-12-16,MOROSO
335,694,109166.25,41.74,18,2022-01-01,VIGENTE
336,992,163383.3,20.63,48,2022-04-27,MOROSO
337,131,153635.15,30.81,24,2023-10-31,VIGENTE
338,385,164687.57,39.13,6,2023-02-27,VIGENTE
339,988,147773.65,29.81,12,2023-08-01,VIGENTE
340,272,181105.9,10.98,24,2021-05-11,CANCELADO
341,512,73467.0,42.96,60,2025-09-21,VIGENTE
342,409,75084.99,42.06,6,2022-07-31,VIGENTE
343,156,46295.25,18.37,60,2025-11-25,VIGENTE
344,316,144453.56,38.5,36,2021-03-19,VIGENTE
345,621,199493.8,44.64,60,2025-03-28,VIGENTE
346,105,120954.57,44.93,6,2023-05-16,CANCELADO
347,569,28888.73,28.05,12,2024-07-06,CANCELADO
348,41,168648.11,29.1,48,2022-08-24,CANCELADO
349,413,58721.37,27.06,60,2026-02-01,VIGENTE
350,672,12216.4,28.89,12,2024-07-29,VIGENTE
351,191,62777.09,15.03,24,2023-06-21,MOROSO
352,195,88140.68,33.4,12,2024-12-29,VIGENTE
353,319,159644.39,16.19,12,2023-07-16,VIGENTE
354,96,187266.69,26.44,36,2024-01-04,VIGENTE
355,471,31177.45,36.73,24,2022-03-14,VIGENTE
356,191,40611.64,11.38,60,2022-02-15,VIGENTE
357,498,33724.63,36.93,12,2022-09-06,VIGENTE
358,580,196573.75,34.75,6,2022-03-30,VIGENTE
359,656,27036.68,36.23,18,2022-05-07,MOROSO
360,507,54610.29,35.32,6,2022-05-17,VIGENTE
361,239,139457.82,20.27,24,2021-03-12,VIGENTE
362,295,21355.7,24.87,6,2024-11-27,CANCELADO
363,207,142078.89,8.39,36,2021-05-23,VIGENTE
364,310,164982.73,8.89,60,2023-05-13,CANCELADO
365,684,152121.3,32.28,12,2021-07-21,VIGENTE
366,71,156205.42,33.94,36,2021-05-30,MOROSO
367,354,171083.34,23.79,6,2024-09-17,CANCELADO
368,769,76109.39,17.48,48,2024-09-03,CANCELADO
369,552,182367.04,17.92,12,2025-02-24,VIGENTE
370,537,110256.46,38.81,18,2024-04-20,MOROSO
371,193,169484.47,23.46,18,2025-04-19,VIGENTE
372,541,195053.82,39.62,6,2021-02-22,VIGENTE
373,349,33253.6,23.35,48,2024-04-24,MOROSO
374,270,160846.54,17.09,12,2022-08-25,MOROSO
375,565,11521.04,37.28,24,2025-08-07,CANCELADO
376,81,184385.8,31.86,24,2024-10-24,CANCELADO
377,142,159041.77,29.94,36,2023-03-22,CANCELADO
378,783,179166.44,17.04,24,2025-08-13,VIGENTE
379,532,197844.98,22.2,60,2025-02-15,MOROSO
380,360,74554.88,29.32,6,2022-12-05,MOROSO
381,366,152148.75,39.26,18,2022-12-05,VIGENTE
382,183,187209.44,28.79,48,2023-08-05,VIGENTE
383,547,9712.99,13.13,60,2025-02-08,CANCELADO
384,361,154251.12,10.64,24,2024-07-22,VIGENTE
385,489,174538.48,19.75,6,2023-08-01,VIGENTE
386,934,71921.26,36.19,24,2025-03-07,CANCELADO
387,75,189414.94,33.85,24,2021-08-12,VIGENTE
388,182,118118.04,18.73,60,2022-09-13,CANCELADO
389,781,6743.73,8.77,18,2025-08-29,VIGENTE
390,145,183414.19,40.46,6,2024-04-21,VIGENTE
391,730,55572.5,21.73,6,2025-09-16,MOROSO
392,652,177028.73,16.98,6,2024-08-14,VIGENTE
393,162,74867.78,13.39,24,2021-07-01,CANCELADO
394,912,6257.64,14.25,24,2023-09-04,MOROSO
395,236,144812.31,21.12,18,2023-05-01,VIGENTE
396,962,173446.21,34.87,18,2024-01-02,VIGENTE
397,840,71462.48,26.96,12,2024-04-27,CANCELADO
398,387,26484.41,24.44,12,2024-10-13,CANCELADO
399,363,99078.99,19.1,6,2025-07-30,VIGENTE
400,969,56457.55,10.31,6,2026-01-16,CANCELADO
401,882,157226.17,38.16,48,2024-03-31,CANCELADO
402,224,144263.33,21.72,36,2025-07-06,CANCELADO
403,298,79755.69,36.38,24,2024-08-21,VIGENTE
404,618,116735.89,14.19,60,2025-06-10,VIGENTE
405,669,40140.6,21.92,24,2023-08-11,CANCELADO
406,249,16642.08,39.48,60,2025-01-20,MOROSO
407,907,78501.58,38.72,12,2023-11-09,VIGENTE
408,423,49294.09,35.66,12,2021-05-28,VIGENTE
409,325,182807.92,37.97,24,2022-05-12,VIGENTE
410,842,147109.5,16.64,60,2025-08-28,CANCELADO
411,8,48132.14,22.56,12,2023-03-08,VIGENTE
412,150,58254.78,37.77,6,2021-09-09,VIGENTE
413,435,148796.78,17.14,12,2021-03-31,VIGENTE
414,325,4796.54,43.16,48,2024-06-23,VIGENTE
415,63,185121.22,14.79,18,2022-11-23,VIGENTE
416,283,12926.92,36.96,6,2022-01-26,VIGENTE
417,332,159408.92,32.03,18,2023-10-16,MOROSO
418,173,180347.26,31.3,18,2024-04-20,MOROSO
419,714,44353.84,19.58,48,2023-04-26,VIGENTE
420,893,134650.29,15.15,18,2023-10-09,VIGENTE
421,936,136511.57,20.92,24,2021-11-20,VIGENTE
422,802,145015.35,20.09,18,2021-10-16,VIGENTE
423,682,25907.82,44.13,24,2021-08-19,VIGENTE
424,138,50332.45,17.52,60,2025-04-26,VIGENTE
425,949,192556.17,21.94,12,2023-01-19,CANCELADO
426,308,146931.18,32.05,36,2024-08-10,VIGENTE
427,715,88247.7,37.35,12,2024-01-22,VIGENTE
428,773,36384.16,36.56,12,2025-03-03,VIGENTE
429,8,155533.44,40.87,12,2022-01-29,MOROSO
430,268,98835.04,44.82,48,2023-03-04,VIGENTE
431,222,31612.85,33.4,36,2023-03-13,VIGENTE
432,658,112864.77,44.08,12,2025-07-30,CANCELADO
433,677,164824.81,21.87,18,2025-02-02,CANCELADO
434,200,179623.22,15.14,48,2025-03-23,VIGENTE
435,406,74998.66,12.44,24,2024-06-08,CANCELADO
436,820,44538.28,21.39,18,2025-01-12,VIGENTE
437,714,187963.63,28.6,18,2024-09-30,MOROSO
438,303,37715.39,35.47,24,2026-02-10,VIGENTE
439,80,187824.67,19.21,36,2025-12-12,VIGENTE
440,102,24489.75,17.36,48,2024-03-27,VIGENTE
441,947,95982.21,34.64,48,2021-07-28,VIGENTE
442,815,7027.03,12.9,12,2025-10-09,VIGENTE
443,954,78804.83,18.68,12,2025-11-30,MOROSO
444,266,194159.63,9.06,60,2025-09-12,MOROSO
445,45,144047.02,16.25,12,2025-06-27,CANCELADO
446,474,144436.03,14.09,12,2021-06-01,MOROSO
447,951,196299.93,31.88,36,2022-07-10,VIGENTE
448,828,175592.42,43.09,12,2023-06-06,VIGENTE
449,734,187517.54,35.31,48,2025-11-04,VIGENTE
450,263,181260.48,34.38,6,2024-01-02,CANCELADO
451,867,152427.74,9.68,12,2021-08-27,VIGENTE
452,276,181603.34,31.25,12,2024-10-08,VIGENTE
453,538,141245.54,17.21,6,2025-07-07,VIGENTE
454,239,24936.62,42.59,60,2024-11-03,CANCELADO
455,122,182588.95,23.39,48,2022-04-06,CANCELADO
456,732,43945.21,26.78,12,2022-05-27,VIGENTE
457,675,122959.85,22.32,6,2021-08-14,VIGENTE
458,827,9658.45,25.01,36,2025-05-24,VIGENTE
459,862,60471.79,39.51,36,2023-10-05,MOROSO
460,271,78860.61,13.08,6,2024-08-27,VIGENTE
461,968,163349.09,31.51,18,2024-03-13,MOROSO
462,753,196765.65,30.66,12,2025-12-19,MOROSO
463,581,115975.02,44.36,12,2025-07-16,CANCELADO
464,182,109661.76,18.28,24,2024-02-23,VIGENTE
465,835,152078.22,30.15,48,2022-04-26,CANCELADO
466,989,160796.25,17.28,24,2024-12-12,VIGENTE
467,785,98313.67,22.44,48,2025-01-06,VIGENTE
468,423,77299.75,13.1,12,2025-11-11,VIGENTE
469,786,134392.03,20.93,12,2023-05-27,VIGENTE
470,825,52284.7,9.27,6,2022-01-12,VIGENTE
471,963,148499.78,38.34,48,2026-02-04,MOROSO
472,884,150756.46,38.39,36,2021-06-23,MOROSO
473,902,129645.41,38.22,60,2022-09-29,CANCELADO
474,639,44503.0,34.0,12,2022-04-06,CANCELADO
475,350,187884.25,36.22,48,2022-09-27,MOROSO
476,813,125642.21,36.6,18,2025-11-16,CANCELADO
477,42,39771.01,9.01,6,2024-06-30,VIGENTE
478,402,93951.53,22.58,36,2024-07-24,VIGENTE
479,606,80786.19,42.58,24,2025-10-29,CANCELADO
480,847,112074.47,39.92,36,2025-10-17,VIGENTE
481,485,102180.13,38.11,36,2021-06-28,CANCELADO
482,441,26145.58,41.67,36,2022-04-21,CANCELADO
483,718,46594.6,33.51,48,2023-05-27,MOROSO
