complaint_id,received_date,right_id,mun_id,area_id,status,description
20,2021-03-15,2,6,3,EN PROCESO,Sociedad grupos américa hombres apoyo marzo habrá junto.
21,2023-01-06,6,2,1,EN PROCESO,Armas recursos argentina rey reunión mucho he.
22,2022-07-17,2,4,4,EN PROCESO,Unión juego ley deja ambiente paz rey tener.
23,2022-02-16,5,3,2,EN PROCESO,Carrera eso duda dan relación quizá director cuatro elementos punto.
24,2024-05-18,3,7,4,ABIERTO,Ellos misma señor dicen socialista fueron.
25,2025-05-02,4,1,4,CERRADO,Punto metros campo deja julio cabo.
26,2025-03-30,4,3,4,CERRADO,Reunión manuel luis voy material poco que países violencia quiere.
27,2023-11-07,7,3,5,CERRADO,Tal aquella pocos pese queda hechos través toma todas orden miembros abril final.
28,2023-02-23,6,1,4,CERRADO,Sigue señora elementos muestra ahí barcelona cuanto misma otros eran.
29,2020-10-14,2,7,1,CERRADO,Agua ayuda embargo tengo quiere esto mientras media asimismo.
30,2021-08-01,2,7,2,EN PROCESO,Comunidad difícil consejo mitad realidad palabras rafael.
31,2021-01-20,7,3,2,CERRADO,López permite persona cuarto arte figura precios grado cómo aun peor sectores.
32,2024-03-08,6,4,4,CERRADO,Unidos r gobierno nuestro artículo trabajo menor diferencia intereses pp sin temas noviembre.
33,2022-07-29,6,5,4,EN PROCESO,Pasar aquella n ideas grado si españa.
34,2024-11-03,5,6,3,CERRADO,Mis dijo hospital viaje campaña juan.
35,2021-07-20,7,2,4,EN PROCESO,Boca pequeña había actitud causa tenía lenguaje reunión acción.
36,2025-05-03,1,5,3,ABIERTO,Educación pequeña sino fútbol mano material cultura debido.
37,2023-01-28,6,4,2,EN PROCESO,Cuadro oficial habría clase palabra principios visita jefe.
38,2023-03-21,1,6,2,EN PROCESO,Producto natural edad este familia muestra pregunta nueva cargo c.
39,2023-04-27,4,4,3,EN PROCESO,Sea problemas hermano meses visita crisis buen suficiente interés soy.
40,2023-12-01,1,7,1,CERRADO,Entonces paciente cuatro arriba tema investigación aire américa amigos dado blanca valor frente.
41,2022-05-23,3,6,3,CERRADO,Armas metros serán iglesia línea violencia buena metros muchos carta es puntos recuerdo.
42,2023-10-08,2,2,1,EN PROCESO,Miembros veces sus operación forma hijo decisión.
43,2023-04-18,7,5,3,CERRADO,Atrás flores diario estoy costa he tema resto igual parte necesario importante semana.
44,2022-12-27,1,3,4,ABIERTO,Fueron estar las pueden j cuba título obra carne unos julio.
45,2025-05-28,7,6,4,CERRADO,Peor nuevo vía defensa silencio país presenta cualquier sólo ha lugar piel características.
46,2025-05-22,2,5,4,ABIERTO,Iba cargo era miguel primeras parís cierta siquiera paciente manos amigo ciencia ambos.
47,2022-02-21,7,7,3,ABIERTO,Carne volver mucha menor todavía r estados cuarto quiere futuro cada.
48,2021-05-08,3,1,1,EN PROCESO,España igual interior supuesto sala países médico aparece serán hermano.
49,2021-04-28,7,3,4,CERRADO,Momento mal éxito verdad horas empresas última ellos mis tal primeras diario.
50,2021-07-07,1,7,1,ABIERTO,Espera cosas segunda acerca deben misma nada larga social ella importantes ambiente.
51,2023-05-28,5,3,2,EN PROCESO,Fuentes esfuerzo español lado mediante s programa europa marco.
52,2020-09-17,7,5,1,CERRADO,Felipe programas ex siguiente mil paso haber dos dólares oposición corte industria.
53,2025-06-30,4,7,2,ABIERTO,Ayer todavía española son metros medidas diferentes especie hacer derecha cabo.
54,2020-10-26,4,7,3,CERRADO,Organización tiene industria momento vida análisis acuerdo último máximo aun.
55,2025-08-16,5,5,2,CERRADO,Servicio has izquierda hijo ello nombre llega cama estuvo diferencia tendrá fernando ha.
56,2025-06-30,4,2,3,EN PROCESO,Será fuego ministro ser seguir presente hasta donde crisis.
57,2024-09-27,7,3,4,ABIERTO,Esto carta grupo libro relaciones quiero necesidad.
58,2024-08-23,5,6,1,EN PROCESO,Origen movimiento curso gran nivel fuerte misma humanos frente centro bueno compañía.
59,2021-05-01,4,2,1,ABIERTO,Ella lejos imágenes libertad tú ocasión cargo juicio.
60,2023-11-24,1,3,3,ABIERTO,Política hecho iglesia justicia siquiera autor martín profesional etc esa obras estructura especialmente.
61,2021-06-11,2,1,2,EN PROCESO,Elementos largo aquella análisis mes viene ideas parís.
62,2023-09-03,1,3,2,EN PROCESO,Importantes hace etapa dicen mediante pp.
63,2025-05-04,7,7,1,CERRADO,Dicho defensa dólares oposición fuentes adelante trabajar.
64,2022-06-06,7,2,5,CERRADO,Pudo diez tan la desde vamos técnica servicio volvió también.
65,2023-06-03,6,1,4,ABIERTO,Llevar período pequeña tribunal además tribunal contra partidos.
66,2024-11-15,3,5,5,EN PROCESO,Grupos cuenta diciembre acto cierto guerra primero esos.
67,2022-12-13,5,4,2,CERRADO,Propios sé actual título europea actitud ese estuvo capital crisis finalmente única.
68,2023-12-14,1,5,4,EN PROCESO,Fondo curso estar pueblo juan volver espera historia.
69,2024-07-02,4,5,5,EN PROCESO,Torno arte elementos hacía principal igual quienes presente.
70,2022-07-26,2,4,2,ABIERTO,Texto cual negro existen r pasa.
71,2022-09-17,1,3,2,EN PROCESO,Tales ciento da rey carlos blanco.
72,2020-12-07,3,6,5,ABIERTO,Siquiera partes instituto salir plan juicio un él.
73,2021-03-03,5,1,3,CERRADO,Fuerte del características unidad niveles nuestras además semana tienen.
74,2024-03-13,5,1,1,EN PROCESO,Países cargo conocer paso cara próximo ejemplo trata una.
75,2023-11-07,3,4,5,EN PROCESO,Industria frente relación grado esas carácter luz banco cabeza espacio exterior.
76,2021-03-06,1,1,2,CERRADO,Cinco familia debía partes control cámara incluso en.
77,2025-03-26,7,2,5,CERRADO,Fuera economía dicho mundial gente centros papel.
78,2025-05-28,6,4,1,CERRADO,Partido hemos fuerte manera doctor análisis hijos.
79,2022-04-24,5,4,5,EN PROCESO,Dejó proyectos sí pesetas clase felipe mar veces.
80,2023-05-19,4,3,5,ABIERTO,Derecha fútbol ahí mirada general ésta figura fueron productos muerte vamos.
81,2025-06-25,6,2,4,ABIERTO,Palabra radio pues habían seis alguien.
82,2021-07-25,6,1,3,CERRADO,Seis ellos encuentro destino madre estado cierto donde popular pudo igual del estructura.
83,2023-05-09,7,1,1,ABIERTO,Decisión gran ello grado hecho permite valores mejor intereses.
84,2025-02-14,7,2,4,ABIERTO,Sol industria mismos llegó existe sólo mejores paciente algunas pedro siquiera hasta autoridades.
85,2022-11-27,3,2,2,ABIERTO,Hospital corte debía calidad pone consejo proyectos texto encuentra habla último.
86,2022-03-28,6,6,2,ABIERTO,Trata pudo sería debía costa puso salida tan.
87,2021-07-10,1,1,4,CERRADO,Título cara actitud régimen nuevas todos parecía francisco seguridad hicieron cosa estamos.
88,2024-09-06,6,7,4,EN PROCESO,Blanco operación industria nosotros estilo aquellas carlos atrás mes.
89,2022-04-09,6,5,5,ABIERTO,Y existe siempre música imágenes administración espera.
90,2020-11-26,5,6,3,ABIERTO,Primeras tuvo capital niño produce propuesta psoe año haya producción momentos sobre.
91,2020-10-08,6,1,5,ABIERTO,Sur iba fiscal baja familia m papel.
92,2020-11-12,3,3,4,CERRADO,Silencio ocasión pueda ni mejor medida reforma enfermedad general entrada tras.
93,2023-09-17,6,3,4,CERRADO,José derecho nivel días estos tuvo usted pesar fecha médico.
94,2022-02-02,3,2,5,ABIERTO,Pocos capaz cuales casos era cuenta actividades acción puerto presencia presencia.
95,2023-08-27,2,3,5,CERRADO,Tenía cinco europea rafael para grado luis alguna mediante hombres país buscar este.
96,2023-11-08,6,4,4,ABIERTO,Nivel consecuencia tipos acerca río miembros casa joven tiempos viaje.
97,2021-10-08,5,7,4,EN PROCESO,Efecto proceso diciembre español van único.
98,2020-09-19,1,7,1,ABIERTO,Instituto niveles don muchos san haber voluntad.
99,2024-08-29,5,3,2,CERRADO,Libertad música rey mayor encima explicó uno fiscal.
100,2020-11-19,3,6,5,ABIERTO,Clase trabajo grande oro semanas buenos vuelve que rafael siguiente noche creación suelo.
101,2025-05-19,4,7,4,ABIERTO,Ellos formas toda características te suerte semana falta padre sangre distintas.
102,2020-11-03,7,1,3,EN PROCESO,Modelo afirmó pie pequeña veces libertad.
103,2023-03-04,6,3,3,ABIERTO,Partir posición naturaleza artículo base tiempos josé hace incluso porque señora mí.
104,2022-01-26,1,4,3,ABIERTO,Hombres ser algún blanca viene mujeres mano sólo.
105,2022-02-02,6,3,3,EN PROCESO,Presenta unos manos quería líder ambiente violencia garcía viejo superior.
106,2024-07-11,4,7,5,CERRADO,Seguro c presenta pesar aparece meses saber madre dio.
107,2020-09-22,3,4,2,CERRADO,Operación justicia línea habían prensa ninguna mujeres presencia participación poner.
108,2021-03-29,7,4,4,ABIERTO,Materia silencio van espera tuvo rosa.
109,2024-12-11,5,7,4,EN PROCESO,Fuerzas mundo visto voy respuesta es.
110,2023-12-22,2,5,5,EN PROCESO,Personal especie igual los quizá cuatro político doctor cuestión primero podría días plazo.
111,2020-12-07,7,6,3,CERRADO,Figura muy fútbol aparece será i ejército cuyo compañía empresa.
112,2022-12-14,7,5,2,EN PROCESO,Construcción posibilidad pone momentos objetivo ii miedo los paz consecuencia análisis información nadie.
113,2021-11-19,6,2,2,ABIERTO,Haya estaban estaba noche salir teoría niveles ir mil central habría llegó.
114,2022-11-01,6,2,2,ABIERTO,Cabo serie jorge sabe los ahora elementos tema estados principal televisión podía.
115,2022-05-07,6,5,3,EN PROCESO,Buenos junto zonas congreso gente fiscal plaza premio voy muchos fecha debía nueva.
116,2023-03-18,6,5,5,ABIERTO,Salir vía meses universidad parece presente administración hablar.
117,2024-01-17,2,4,3,ABIERTO,Marzo cambio orden reforma principios común formas.
118,2024-06-11,3,7,4,EN PROCESO,Guerra cargo sólo así contra creación rodríguez economía persona queda cosa centro.
119,2023-02-20,5,5,4,EN PROCESO,Enfermedad pudo sectores encuentran experiencia días.
120,2021-10-01,6,4,3,EN PROCESO,Cerca finalmente nada relaciones hubo nuevo modelo dónde estaba prueba.
121,2021-02-08,1,2,5,ABIERTO,Son cargo razones peso ayuda jamás cuales evitar niños estudio valores principios pasar.
122,2022-08-18,3,4,2,CERRADO,Interior último calle papel otra ningún fecha modo calle llega hecho.
123,2025-05-14,7,3,3,EN PROCESO,U hacía fiscal bajo curso dejó sé usted yo nueva nueva santa.
124,2021-09-13,5,5,2,ABIERTO,Ex cuestión tampoco toda atrás muchas juan programas unos período plan hecho siete.
125,2025-04-21,2,5,2,CERRADO,General sociedad proyecto principio su propuesta.
126,2022-09-27,5,3,4,CERRADO,Imposible afirmó torno éxito usted existencia.
127,2024-04-19,4,5,4,ABIERTO,Existencia nadie aquellas creación período fútbol europa base amigo un mira grande esas cualquier.
128,2023-04-29,2,7,3,ABIERTO,Política unos españoles noche presidente nueva cierto.
129,2023-08-27,7,2,4,EN PROCESO,Dejar garcía manos idea estos están cada misma muerto.
130,2025-06-03,3,7,5,ABIERTO,Ellos viaje podía estamos esta habría has mayoría color quiere.
131,2022-10-20,7,3,2,CERRADO,Poder república c quedó pueblo entre.
132,2025-04-10,6,5,3,CERRADO,Resulta día esfuerzo mirada españoles director recuerdo medio manos estudios realizar.
133,2023-07-07,5,6,5,ABIERTO,Había viejo compañía punto como otro película estaban fuera final haciendo méxico juez.
134,2020-11-16,7,2,5,EN PROCESO,Través necesidad mucha intereses campo mismos momento evitar lado medio unos realidad acuerdo media.
135,2022-11-16,1,6,3,CERRADO,Imagen estas comunidad control general vio pensar arte cabeza dado objeto.
136,2024-02-22,3,2,5,ABIERTO,Niño hablar acuerdo cuestión dejó asociación primeras explicó dios voz llamado pp es.
137,2022-12-10,7,2,5,CERRADO,Aun unos pese aunque resultados qué contrario cama informe septiembre vida sistemas.
138,2023-01-12,6,5,2,EN PROCESO,Estas sociedad cerca debía europea habrá s estas.
139,2023-01-15,2,5,4,CERRADO,Pie niño mejor pesetas voz felipe.
140,2023-06-29,4,2,3,ABIERTO,Nosotros ciencia hubiera propia vio allí natural toma embargo importantes.
141,2022-09-05,4,3,2,CERRADO,Manos podemos carta son relaciones amor va curso naturaleza psoe mal semanas ii seguir.
142,2021-04-14,3,6,3,CERRADO,Actividad peso proyectos va has constitución.
143,2023-04-30,6,3,1,ABIERTO,Poner socialista camino principal interior cosas fuentes buenos particular arte primera.
144,2021-11-23,5,7,5,ABIERTO,Haya económica podemos amor victoria color pequeña las principales n igual cambios.
145,2022-03-14,4,6,3,CERRADO,Ya grupos conciencia cinco tendrá estoy diversos cierto pudo necesidad acerca mientras estudios.
146,2025-08-30,2,5,4,EN PROCESO,Aquí martín ese sector médico octubre banco grado segunda único.
147,2025-03-30,3,4,2,ABIERTO,Análisis marzo defensa contra quien podría profesional considera muerte.
148,2023-06-24,3,6,2,ABIERTO,Amigos tema humano s noche tenemos llamado todas puso tendrá se crecimiento actitud policía.
149,2025-08-04,5,2,4,EN PROCESO,Esas salida junto cabeza poco llega reunión iba favor mundial plaza instituciones.
150,2022-01-29,6,7,1,ABIERTO,Empresa duda hacer ellas cosas queda necesidad san partidos toma muerte.
151,2024-08-15,3,7,5,CERRADO,Miguel trabajar tendrá creación ley mil tampoco incluso distintos va viaje era media programa.
152,2025-08-02,3,6,5,CERRADO,Mirada libre misma silencio donde problemas argentina silencio le pueblo le lado negro.
153,2023-06-11,7,7,3,EN PROCESO,Dan centro servicios cuadro hechos historia política.
154,2022-06-06,2,7,2,ABIERTO,Mirada alguna su duda producción pasó han sangre don resultado pública cargo.
155,2025-09-02,7,7,4,EN PROCESO,Radio elecciones acción médico aparece dejó última llega movimiento técnica éxito.
156,2023-05-21,7,2,4,EN PROCESO,Existen libertad las equipo marcha grandes muchos vino técnica hacerlo diversos s cual.
157,2023-11-17,3,2,5,EN PROCESO,Dólares día cama imagen solamente he es entrada las destino.
158,2022-11-08,1,1,5,ABIERTO,Economía ellos estudio poder necesidad pacientes aún dejó cámara madre prueba tú.
159,2025-02-17,5,7,4,EN PROCESO,Particular especial mayo lleva deben podemos.
160,2020-09-15,2,4,2,ABIERTO,Medida cambios tierra junio intereses clase lugar.
161,2024-10-25,7,7,5,ABIERTO,Seguridad produce dos respuesta dicho políticas trata suficiente silencio respuesta.
162,2025-07-23,3,5,1,CERRADO,Proyectos varios humanos enfermedad acciones barcelona tuvo.
163,2022-03-30,5,5,1,CERRADO,Antonio superior d dar cómo total ya cabo dan.
164,2022-06-12,4,7,5,CERRADO,Hora nueva atrás sí y debido origen volvió pasa fuerte militar.
165,2022-10-14,3,7,5,CERRADO,Rosa ese economía destino efecto rey plan cuando ayuda permite sociales.
166,2023-12-16,3,7,2,ABIERTO,Considera arriba sistemas servicio encuentro última primeras proyecto era hubiera tema me.
167,2024-12-19,5,6,3,EN PROCESO,Plan domingo modelo última zonas don sin demás torno dinero tuvo.
168,2022-09-05,4,5,5,EN PROCESO,Posibilidades concepto padre cosa sea sí.
169,2022-12-28,6,6,5,CERRADO,Imposible europa podía educación fuentes consumo cuenta donde esa podría.
170,2025-08-30,3,4,4,ABIERTO,Democracia manuel su no línea miembros producción explicó.
171,2020-10-28,6,7,5,CERRADO,Derecho contrario gracias revolución pero idea se podemos tiempos.
172,2023-07-26,2,4,2,ABIERTO,Suerte tribunal valores música verdad te orden instituto salud quiero.
173,2023-07-18,5,5,3,EN PROCESO,Salida estudio cuenta bueno ciudad diez.
174,2020-11-16,4,3,1,EN PROCESO,Mi partes carta tal diario proceso sé existencia contra estudios grupos importancia buscar.
175,2023-01-26,4,3,4,ABIERTO,Nueva pensar mismo consumo millones términos primera hemos.
176,2024-03-08,6,7,1,ABIERTO,Distintos grupos técnica llega misma problemas su bien actitud blanca condiciones g origen.
177,2021-08-13,2,6,3,CERRADO,Cierta hacer pueda rosa base informe según poco modelo aquel contra del deja.
178,2024-01-11,3,7,4,EN PROCESO,Este especialmente tenido nuestra investigación hicieron empresas muchos i.
179,2021-05-03,4,3,5,EN PROCESO,Hablar cultural hubiera días enero estoy son ya.
180,2022-06-13,6,3,2,CERRADO,Natural unas sistema momentos propio evitar conocer.
181,2025-07-12,2,2,4,EN PROCESO,Justicia diversos antes menos humanos desde.
182,2025-04-15,2,5,1,CERRADO,Estuvo clase imposible hijos consumo acuerdo chile ambos.
183,2021-02-19,7,4,1,CERRADO,Victoria pocos volvió cuatro boca miedo crisis estados comercio.
184,2024-08-01,5,1,4,CERRADO,López crecimiento teatro seis tenemos sería humano encontrar objetivo apoyo encuentra.
185,2022-12-19,4,7,3,EN PROCESO,Sería he vuelve estaban hemos los.
186,2022-06-29,2,1,1,ABIERTO,Local francisco luis especialmente cuales dado b ideas dio aquel.
187,2022-06-08,5,6,2,ABIERTO,Nueva cuya así m junto pese campaña volvió para cómo llegar.
188,2023-07-04,3,5,5,CERRADO,Siguientes apoyo distintas sigue lado pese baja jóvenes medidas.
189,2025-07-09,6,7,5,CERRADO,Mal sectores distintos los dólares has deja aunque.
190,2021-11-10,7,5,5,EN PROCESO,Gobierno entre podrá metros ocasiones esas aspecto niños cinco república los.
191,2023-10-15,2,1,3,EN PROCESO,Mucha dónde obra volvió costa dinero autoridades nuevos cual madre.
192,2020-09-17,5,5,1,ABIERTO,Población muchos propios aparece casos muerto mal comenzó cuando recuerdo.
193,2020-12-25,5,4,1,EN PROCESO,Época lado capaz incluso temas violencia solamente favor.
194,2021-07-15,3,1,4,CERRADO,Rosa conocimiento propio pasado sería manera.
195,2020-12-20,2,7,4,EN PROCESO,Bien nueva unas año aspecto valor u ver.
196,2023-09-20,7,7,1,ABIERTO,Proyectos democracia cada algo nuestro propios actitud d.
197,2022-09-29,4,1,1,ABIERTO,Situación premio jóvenes tan puedo zona ciencia él.
198,2022-06-29,4,5,2,EN PROCESO,Nunca cara pp paz consumo cuya.
199,2021-08-22,7,7,3,CERRADO,Pedro relación podemos lópez congreso diferencia obra.
200,2022-01-16,5,5,5,ABIERTO,Actual hora niños pone película puerto hombres época nuestro.
201,2022-04-19,5,5,5,CERRADO,Padre ministro grado encuentran española podrá muy hablar falta realizar posible.
202,2025-08-25,5,7,3,ABIERTO,Obstante términos público hablar seguro gente primeros realizar televisión.
203,2024-02-09,6,7,1,CERRADO,Aún comunidad dejar otras partido mayoría jorge pero hasta bueno única don importancia.
204,2025-08-23,6,3,5,EN PROCESO,Área habría claro salud cómo libertad trabajadores líder sangre boca esa ex.
205,2021-11-26,5,7,4,CERRADO,Único mi militares investigación equipo lo flores haber área.
206,2021-04-14,2,6,2,ABIERTO,Programa región aire mayores suelo gonzález contra tiempos desarrollo presente iba hicieron.
207,2024-06-16,3,1,1,ABIERTO,Partir falta está consejo antes segundo.
208,2021-07-13,5,4,5,ABIERTO,Demasiado plazo problema especialmente antonio año.
209,2020-09-30,4,5,3,CERRADO,Torno situación primeras finalmente asociación ya unidos sigue toda aquella está carácter paz.
210,2021-03-18,1,3,2,ABIERTO,Siglo nuestros días central amor organización organización cuerpo.
211,2023-03-02,3,4,3,EN PROCESO,Estilo teatro español santa estoy habrá.
212,2022-04-07,7,4,5,ABIERTO,Tenía memoria fácil menos don familia tengo actividad pasa.
213,2022-08-28,4,5,2,CERRADO,Tribunal ninguna características una más norte cuando solución veces.
214,2024-07-03,5,4,1,ABIERTO,Esto mujer se recuerdo partido buenos serán horas mucha expresión dolor.
215,2025-04-20,1,7,5,EN PROCESO,Atención juez familia paz cinco todos miedo defensa edad principales.
216,2023-04-19,6,2,3,CERRADO,Hija nunca tema económico región mar construcción etc central.
217,2021-10-24,1,3,2,EN PROCESO,Por central director operación todo puedo conocer través hubiera mayoría riesgo tengo español.
218,2023-02-16,6,3,2,ABIERTO,Medida políticos una pese más madrid piel acuerdo juego.
219,2024-04-25,6,6,4,ABIERTO,Ministerio economía fin tiempo propio c sus social quizá.
220,2022-02-19,7,1,3,EN PROCESO,Último ley nunca oposición resto memoria líder.
221,2023-09-22,1,7,5,ABIERTO,Cuanto diario militar análisis tribunal aumento estilo movimiento.
222,2022-12-25,1,3,4,ABIERTO,Hizo habían vino socialista primera conjunto este contra industria estas considera menos.
223,2025-06-28,1,7,5,ABIERTO,Junio fueron total cuales otros señaló tratamiento méxico.
224,2021-10-22,6,5,1,EN PROCESO,Tenía ex línea fuentes les próximo memoria sentido.
225,2023-06-28,5,1,4,CERRADO,Del deben cantidad allí servicios formación democracia ocasión desde vía reforma.
226,2022-05-01,1,7,1,ABIERTO,Miedo sectores compañía principal española efecto sala punto casos línea don.
227,2025-01-26,3,6,1,ABIERTO,Título tribunal decir tuvo algunos allí esfuerzo.
228,2022-01-22,6,4,5,EN PROCESO,Dinero tres partidos nuevas obstante así libros prensa cuerpo derecho cabeza.
229,2024-08-05,6,7,5,EN PROCESO,Importancia amigo buenos modo tiene vida técnica rosa mes universidad quiero tuvo energía.
230,2024-06-14,3,4,4,EN PROCESO,Mismos somos pasar cuenta grupo encontrar tratamiento.
231,2023-02-06,2,4,1,CERRADO,Alrededor comunicación juan e educación sus.
232,2023-11-28,4,3,3,EN PROCESO,Claro personal cultural dicho principio ello gente españoles van razones pacientes cosas.
233,2022-03-25,4,2,3,ABIERTO,Productos organización ve vista otro respecto falta anterior buenos cuenta político.
234,2021-03-07,5,4,5,EN PROCESO,Cuales programa más manos carrera cuadro ley habrá consecuencia juan paso ver luz.
235,2025-08-08,4,7,5,CERRADO,Nada movimiento no año dice problema torno hacía jefe deben vuelve semanas necesidad.
236,2024-06-25,6,1,2,ABIERTO,Peor acerca país tenía cuadro superior blanco.
237,2023-08-24,3,4,4,CERRADO,Dijo ojos año casi seguir interés resultado vuelta.
238,2023-08-18,3,4,5,ABIERTO,Durante importancia ciento música supuesto justicia explicó obra vuelta equipo marzo temas.
239,2025-03-17,6,4,4,EN PROCESO,Políticas hacen sobre blanco operación voz difícil.
240,2021-11-24,5,3,2,CERRADO,Acto en mismo estar diez aparece palabras valores también países pues.
241,2022-09-14,4,7,1,EN PROCESO,Industria hablar comenzó ni doctor fue acción mayo trabajo también año.
242,2024-05-19,7,5,4,EN PROCESO,Casa parecía hacía asunto pensar aquel todos d cine atrás número económica.
243,2022-11-06,7,2,4,ABIERTO,Cámara flores junio podrá población nacional puerto empresa metros año.
244,2025-06-11,1,2,2,EN PROCESO,Pese final camino estuvo tendrá participación suerte revolución hechos época.
245,2022-04-13,4,1,3,CERRADO,Quería lado medida sol d porque incluso.
246,2022-10-29,6,1,5,ABIERTO,Conseguir particular tomar debía mismos incluso todo gran.
247,2023-12-12,4,5,3,CERRADO,Debido aspectos sabía cuanto debe es cuba lejos parte aumento algunas.
248,2021-09-24,3,6,3,EN PROCESO,Fácil mayo servicio única autor izquierda argentina.
249,2023-02-15,1,7,5,CERRADO,Informe otro izquierda derechos ha ejemplo.
250,2023-07-15,7,2,4,CERRADO,Importancia salida personas quizá da bajo rodríguez mar.
251,2021-09-24,5,4,3,ABIERTO,Defensa muestra josé constitución vamos juez.
252,2020-11-26,5,3,4,CERRADO,Uso serán aquí ideas ni radio propia llamado época muy fuerzas.
253,2025-09-05,5,7,3,EN PROCESO,Pie sueño precios aún tienen intereses flores jefe manera oposición tierra voluntad hombre.
254,2024-04-10,2,1,1,EN PROCESO,Mirada modo especialmente podrá parece caso administración países casos santa especial.
255,2022-06-05,6,7,1,ABIERTO,Camino mismo haciendo tampoco justicia siguiente suelo.
256,2021-04-06,1,2,2,EN PROCESO,González luego elementos capital único partir posibilidad.
257,2025-08-04,2,4,1,CERRADO,Última igual unos movimiento cuya amigo único dejar.
258,2025-09-01,6,7,4,CERRADO,Voz más apenas salud negro mantener cuanto campo.
259,2025-08-09,5,1,2,EN PROCESO,Aspectos asociación he pocos resultado diario siete primeras tan expresión.
260,2021-03-12,2,3,1,EN PROCESO,Tres tribunal total trabajo luego silencio comunicación ex rey mayores.
261,2022-04-17,5,6,1,EN PROCESO,Dirección abril fuerzas cabeza programa atención plazo único trabajo derechos un apoyo martín.
262,2021-11-03,7,2,3,CERRADO,Con marcha año riesgo primero meses metros parecía formación.
263,2024-10-31,3,5,2,EN PROCESO,Respecto proyectos adelante distintas niño izquierda resultado encontrar.
264,2020-10-20,1,4,4,CERRADO,Éxito mismos hubiera don e creo presencia e aquella año.
265,2020-11-15,2,1,5,ABIERTO,Actual posibilidades distintas casos países aumento.
266,2022-03-23,4,5,5,CERRADO,Necesidad luis etc sector cambio última ambiente vivir.
267,2023-09-02,1,3,2,EN PROCESO,Único zonas mitad secretario difícil partes quiere centros jorge lugar.
268,2024-08-12,7,7,3,EN PROCESO,Gente mejor sociedad organización solamente llega estudios tú un hospital seguir.
269,2021-02-26,6,2,3,EN PROCESO,Pie importante barcelona hospital precisamente líder autoridades sur aspecto enero amigo favor.
270,2021-10-03,1,3,3,CERRADO,Pregunta tuvo estilo frente mañana estudios pueden felipe.
271,2023-12-14,3,7,2,EN PROCESO,Ciento ciudad reforma propuesta personas justicia grupo cuando materia m arte.
272,2021-12-13,6,4,2,CERRADO,Sol relaciones naturaleza claro secretario primeras fecha pueblo base.
273,2022-02-01,4,7,3,ABIERTO,Esfuerzo campaña respuesta algunos amigo mí corazón puntos mucho.
274,2020-10-14,2,5,5,CERRADO,Vio aire yo derecho instituciones algún cine cabeza miedo.
275,2022-05-24,7,4,5,ABIERTO,Cual civil datos hechos suerte demás largo un.
276,2021-01-29,6,1,5,CERRADO,Próximo sido sola estados frente negro quería más de iglesia esfuerzo.
277,2021-11-01,7,3,1,EN PROCESO,Última república conciencia interior aparece amor.
278,2025-04-25,3,6,4,EN PROCESO,Gobierno encima ciento valor dan atención parecía servicios hay cierta ciento tu.
279,2022-08-28,2,7,4,ABIERTO,Puso dice suerte presenta segundo final ya dicen estados agua.
280,2021-04-14,3,5,3,CERRADO,Ahora muerto alrededor lugar cama posible cuatro fuentes palabra silencio tipo aunque.
281,2022-02-11,1,2,5,CERRADO,Fútbol papel elementos argentina libertad fuego diciembre cultural.
